ri,lambda_exact_um,lambda_find_peaks_um,m,delta_ref_minus_sensor,delta_sensor_minus_ref,swg_sensor,s_lt_ref_minus_sensor,s_lt_sensor_minus_ref,s_lt_previous_ref_minus_sensor,s_lt_previous_sensor_minus_ref,d_delta_d_lambda_ref_minus_sensor,s_implicit_ref_minus_sensor,s_implicit_sensor_minus_ref,s_shift
1.0,1.56386716541497,1.5639810426540284,56,0.8757656126323842,-0.8757656126323842,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.001,1.56932757278074,1.5694356372859861,56,0.8788234407572145,-0.8788234407572145,1.085020714499046,-1.9375369901768678,-1.9375369901768678,-1.9307954140801276,-1.9307954140801276,0.7545232747881045,5.577845199660382,5.577845199660382,5.460407365770627
1.002,1.57226302276572,1.5724269377382465,56,0.8804672927488031,-0.8804672927488031,0.5696298161564246,-1.0171961002793297,-1.0171961002793297,-1.015296972567203,-1.015296972567203,0.7519389550097338,2.967765538410568,2.967765538410568,2.9354499849795257
1.003,1.57526528493197,1.5754296626352644,56,0.8821485595619023,-0.8821485595619023,0.5748826355031093,-1.0265761348269817,-1.0265761348269817,-1.0246196067933564,-1.0246196067933564,0.7493689715989974,3.0357805222730128,3.0357805222730128,3.0022621662503224
1.004,1.57833676756531,1.5784438775510203,56,0.8838685898365733,-0.8838685898365733,0.5802986172489965,-1.0362475308017798,-1.0362475308017798,-1.0342309673153895,-1.0342309673153895,0.7468175811014997,3.1062312970090047,3.1062312970090047,3.071482633339662
1.005,1.58147992279667,1.5814696485623003,56,0.8856287567661392,-0.8856287567661392,0.585886544697813,-1.0462259726746614,-1.0462259726746614,-1.0441466224459326,-1.0441466224459326,0.744289537419208,3.179163358390175,3.179163358390175,3.1431552313604527
1.006,1.58469732531177,1.584507042253521,56,0.8874305021745916,-0.8874305021745916,0.5916562894489544,-1.0565290883017038,-1.0565290883017038,-1.054384022937055,-1.054384022937055,0.7417907315212005,3.2546009606653485,3.2546009606653485,3.217402515099583
1.007,1.5879913739211,1.588065447545717,56,0.8892751693958153,-0.8892751693958153,0.5976170800046299,-1.0671733571511257,-1.0671733571511257,-1.064959666969448,-1.064959666969448,0.7393265330890211,3.3325636185023435,3.3325636185023435,3.2940486093303876
1.008,1.59136467371693,1.5911282545805208,56,0.8911642172814814,-0.8911642172814814,0.6037800705415206,-1.0781786973955718,-1.0781786973955718,-1.0758932250334778,-1.0758932250334778,0.7369043981660137,3.4130302965950676,3.4130302965950676,3.373299795829632
1.009,1.59481964759068,1.594716494845361,56,0.89309900265078,-0.89309900265078,0.6101559355428708,-1.0895641706122703,-1.0895641706122703,-1.0872037684508558,-1.0872037684508558,0.7345314898084685,3.495964746605077,3.495964746605077,3.454973873750314
